tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jdart-regression	jdart-regression	jdart-regression	jdart-regression
results/jdart-regression/	status	cputime (s)	walltime (s)	memory (MB)
OverapproximationString01	correct	0.617000	0.617000	0.000000
URLDecoder01	unknown	0.484000	0.484000	0.000000
URLDecoder02	unknown	0.483000	0.483000	0.000000
addition01	incorrect	0.654000	0.654000	0.000000
array-iteration01	unknown	0.777000	0.777000	0.000000
boundcheck100	correct	1.531000	1.531000	0.000000
boundcheck200	correct	2.601000	2.601000	0.000000
boundcheck30	correct	0.856000	0.856000	0.000000
double2long	incorrect	0.524000	0.524000	0.000000
float	incorrect	0.552000	0.552000	0.000000
list2	correct	41.946000	41.946000	0.000000
radians	incorrect	0.540000	0.540000	0.000000
shifting	correct	0.618000	0.618000	0.000000
shifting2	correct	0.620000	0.620000	0.000000
shifting3	correct	0.638000	0.638000	0.000000
startswith	correct	0.644000	0.644000	0.000000
