tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jbmc-regression	jbmc-regression	jbmc-regression	jbmc-regression
results/jbmc-regression/	status	cputime (s)	walltime (s)	memory (MB)
catch1	correct	0.483000	0.483000	0.000000
char1	correct	0.638000	0.638000	0.000000
charArray	unknown	0.575000	0.575000	0.000000
classtest1	correct	0.484000	0.484000	0.000000
const1	correct	0.482000	0.482000	0.000000
constructor1	correct	0.483000	0.483000	0.000000
enum1	correct	0.478000	0.478000	0.000000
exceptions1	correct	0.481000	0.481000	0.000000
exceptions10	correct	0.489000	0.489000	0.000000
exceptions11	correct	0.478000	0.478000	0.000000
exceptions12	correct	0.481000	0.481000	0.000000
exceptions13	correct	0.486000	0.486000	0.000000
exceptions14	correct	0.480000	0.480000	0.000000
exceptions15	correct	0.481000	0.481000	0.000000
exceptions16	correct	0.499000	0.499000	0.000000
exceptions18	correct	0.495000	0.495000	0.000000
exceptions2	correct	0.480000	0.480000	0.000000
exceptions3	correct	0.483000	0.483000	0.000000
exceptions4	correct	0.474000	0.474000	0.000000
exceptions5	correct	0.487000	0.487000	0.000000
exceptions6	correct	0.480000	0.480000	0.000000
exceptions7	correct	0.479000	0.479000	0.000000
exceptions8	correct	0.475000	0.475000	0.000000
exceptions9	correct	0.478000	0.478000	0.000000
fcmpx_dcmpx1	correct	0.476000	0.476000	0.000000
iarith1	correct	0.485000	0.485000	0.000000
iarith2	correct	0.484000	0.484000	0.000000
if_acmp1	correct	0.468000	0.468000	0.000000
if_expr1	correct	0.532000	0.532000	0.000000
if_icmp1	correct	0.540000	0.540000	0.000000
ifxx1	correct	0.475000	0.475000	0.000000
instanceof1	correct	0.470000	0.470000	0.000000
instanceof2	correct	0.476000	0.476000	0.000000
instanceof3	correct	0.471000	0.471000	0.000000
instanceof4	correct	0.482000	0.482000	0.000000
instanceof5	correct	0.497000	0.497000	0.000000
instanceof6	correct	0.471000	0.471000	0.000000
instanceof7	correct	0.490000	0.490000	0.000000
instanceof8	correct	0.472000	0.472000	0.000000
interface1	correct	0.486000	0.486000	0.000000
java_append_char	correct	0.634000	0.634000	0.000000
lazyloading4	correct	0.483000	0.483000	0.000000
list1	correct	48.356000	48.356000	0.000000
long1	correct	0.480000	0.480000	0.000000
lookupswitch1	correct	0.580000	0.580000	0.000000
multinewarray	correct	0.495000	0.495000	0.000000
overloading1	correct	0.501000	0.501000	0.000000
package1	correct	0.490000	0.490000	0.000000
putfield_getfield1	correct	0.476000	0.476000	0.000000
putstatic_getstatic1	correct	0.472000	0.472000	0.000000
recursion2	correct	0.466000	0.466000	0.000000
return1	correct	0.475000	0.475000	0.000000
return2	correct	0.614000	0.614000	0.000000
store_load1	correct	0.482000	0.482000	0.000000
swap1	correct	0.486000	0.486000	0.000000
synchronized	correct	0.492000	0.492000	0.000000
tableswitch1	correct	0.599000	0.599000	0.000000
uninitialised1	correct	0.473000	0.473000	0.000000
virtual1	correct	0.470000	0.470000	0.000000
virtual2	correct	0.477000	0.477000	0.000000
virtual4	correct	0.487000	0.487000	0.000000
virtual_function_unwinding	correct	0.475000	0.475000	0.000000
