tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jbmc-regression	jbmc-regression	jbmc-regression	jbmc-regression
results/jbmc-regression/	status	cputime (s)	walltime (s)	memory (MB)
ArithmeticException1	correct	0.622000	0.622000	0.000000
ArithmeticException5	correct	0.479000	0.479000	0.000000
ArithmeticException6	correct	0.641000	0.641000	0.000000
ArrayIndexOutOfBoundsException1	unknown	0.615000	0.615000	0.000000
ArrayIndexOutOfBoundsException2	unknown	0.618000	0.618000	0.000000
ArrayIndexOutOfBoundsException3	unknown	0.607000	0.607000	0.000000
BufferedReaderReadLine	correct	0.653000	0.653000	0.000000
CharSequenceBug	correct	0.625000	0.625000	0.000000
CharSequenceToString	correct	0.669000	0.669000	0.000000
ClassCastException1	correct	0.487000	0.487000	0.000000
ClassCastException2	correct	0.473000	0.473000	0.000000
ClassCastException3	correct	0.487000	0.487000	0.000000
Class_method1	correct	0.483000	0.483000	0.000000
Inheritance1	correct	0.483000	0.483000	0.000000
NegativeArraySizeException1	correct	0.741000	0.741000	0.000000
NegativeArraySizeException2	correct	0.486000	0.486000	0.000000
NullPointerException2	correct	0.479000	0.479000	0.000000
NullPointerException3	correct	0.496000	0.496000	0.000000
NullPointerException4	correct	0.505000	0.505000	0.000000
RegexMatches01	correct	0.497000	0.497000	0.000000
RegexMatches02	unknown	0.500000	0.500000	0.000000
RegexSubstitution01	correct	0.484000	0.484000	0.000000
RegexSubstitution02	unknown	0.503000	0.503000	0.000000
RegexSubstitution03	correct	0.499000	0.499000	0.000000
StaticCharMethods01	correct	0.500000	0.500000	0.000000
StaticCharMethods02	correct	0.819000	0.819000	0.000000
StaticCharMethods03	unknown	0.553000	0.553000	0.000000
StaticCharMethods04	correct	0.640000	0.640000	0.000000
StaticCharMethods05	unknown	0.493000	0.493000	0.000000
StaticCharMethods06	unknown	0.552000	0.552000	0.000000
StringBuilderAppend01	correct	0.491000	0.491000	0.000000
StringBuilderAppend02	unknown	0.491000	0.491000	0.000000
StringBuilderCapLen01	correct	0.486000	0.486000	0.000000
StringBuilderCapLen02	correct	0.625000	0.625000	0.000000
StringBuilderCapLen03	correct	0.633000	0.633000	0.000000
StringBuilderCapLen04	unknown	0.503000	0.503000	0.000000
StringBuilderChars01	correct	0.501000	0.501000	0.000000
StringBuilderChars02	correct	0.636000	0.636000	0.000000
StringBuilderChars03	unknown	0.487000	0.487000	0.000000
StringBuilderChars04	unknown	0.500000	0.500000	0.000000
StringBuilderChars05	unknown	0.484000	0.484000	0.000000
StringBuilderChars06	unknown	0.497000	0.497000	0.000000
StringBuilderConstructors01	correct	0.548000	0.548000	0.000000
StringBuilderConstructors02	unknown	0.507000	0.507000	0.000000
StringBuilderInsertDelete01	correct	0.503000	0.503000	0.000000
