benchmark,expected,actual,time_s,result
Character_public_static_byte_java_lang_Character_getDirectionality_int,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_char_java_lang_Character_forDigit_int_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_char_java_lang_Character_toLowerCase_char,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_char_java_lang_Character_toTitleCase_char,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_char_java_lang_Character_toUpperCase_char,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_int_java_lang_Character_charCount_int,false,UNKNOWN,.51s,UNKNOWN
Character_public_static_int_java_lang_Character_compare_char_char,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_int_java_lang_Character_digit_char_int,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_int_java_lang_Character_digit_int_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_int_java_lang_Character_getNumericValue_char,false,UNKNOWN,.47s,UNKNOWN
Character_public_static_int_java_lang_Character_getNumericValue_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_int_java_lang_Character_getType_char,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_int_java_lang_Character_getType_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_int_java_lang_Character_toCodePoint_char_char,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_int_java_lang_Character_toLowerCase_int,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_int_java_lang_Character_toTitleCase_int,false,UNKNOWN,.52s,UNKNOWN
Character_public_static_int_java_lang_Character_toUpperCase_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_java_lang_Character_java_lang_Character_valueOf_char,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_java_lang_String_java_lang_Character_toString_char,false,UNKNOWN,.50s,UNKNOWN
Double_public_boolean_java_lang_Double_isInfinite,false,UNKNOWN,.48s,UNKNOWN
Double_public_boolean_java_lang_Double_isNaN,false,UNKNOWN,.49s,UNKNOWN
Double_public_byte_java_lang_Double_byteValue,false,UNKNOWN,.48s,UNKNOWN
Double_public_int_java_lang_Double_compareTo_java_lang_Double,false,UNKNOWN,.47s,UNKNOWN
Double_public_int_java_lang_Double_intValue,false,UNKNOWN,.49s,UNKNOWN
Double_public_java_lang_String_java_lang_Double_toString,false,UNKNOWN,.49s,UNKNOWN
Double_public_long_java_lang_Double_longValue,false,UNKNOWN,.47s,UNKNOWN
Double_public_short_java_lang_Double_shortValue,false,UNKNOWN,.49s,UNKNOWN
Double_public_static_boolean_java_lang_Double_isFinite_double,false,UNKNOWN,.49s,UNKNOWN
Double_public_static_boolean_java_lang_Double_isInfinite_double,false,UNKNOWN,.48s,UNKNOWN
Double_public_static_boolean_java_lang_Double_isNaN_double,false,UNKNOWN,.49s,UNKNOWN
Double_public_static_int_java_lang_Double_compare_double_double,false,UNKNOWN,.50s,UNKNOWN
Double_public_static_java_lang_String_java_lang_Double_toHexString_double,false,UNKNOWN,.49s,UNKNOWN
Double_public_static_java_lang_String_java_lang_Double_toString_double,false,UNKNOWN,.48s,UNKNOWN
Double_public_static_long_java_lang_Double_doubleToLongBits_double,false,UNKNOWN,.49s,UNKNOWN
Double_public_static_native_long_java_lang_Double_doubleToRawLongBits_double,false,UNKNOWN,.50s,UNKNOWN
Float_public_boolean_java_lang_Float_isInfinite,false,UNKNOWN,.50s,UNKNOWN
Float_public_boolean_java_lang_Float_isNaN,false,UNKNOWN,.49s,UNKNOWN
Float_public_byte_java_lang_Float_byteValue,false,UNKNOWN,.48s,UNKNOWN
Float_public_int_java_lang_Float_compareTo_java_lang_Float,false,UNKNOWN,.49s,UNKNOWN
Float_public_int_java_lang_Float_intValue,false,UNKNOWN,.48s,UNKNOWN
Float_public_java_lang_String_java_lang_Float_toString,false,UNKNOWN,.48s,UNKNOWN
Float_public_long_java_lang_Float_longValue,false,UNKNOWN,.48s,UNKNOWN
Float_public_short_java_lang_Float_shortValue,false,UNKNOWN,.49s,UNKNOWN
Float_public_static_boolean_java_lang_Float_isFinite_float,false,UNKNOWN,.49s,UNKNOWN
Float_public_static_boolean_java_lang_Float_isInfinite_float,false,UNKNOWN,.49s,UNKNOWN
Float_public_static_boolean_java_lang_Float_isNaN_float,false,UNKNOWN,.48s,UNKNOWN
Float_public_static_int_java_lang_Float_compare_float_float,false,UNKNOWN,.49s,UNKNOWN
Float_public_static_int_java_lang_Float_floatToIntBits_float,false,UNKNOWN,.47s,UNKNOWN
Float_public_static_java_lang_String_java_lang_Float_toHexString_float,false,UNKNOWN,.47s,UNKNOWN
Float_public_static_java_lang_String_java_lang_Float_toString_float,false,UNKNOWN,.49s,UNKNOWN
Float_public_static_native_int_java_lang_Float_floatToRawIntBits_float,false,UNKNOWN,.47s,UNKNOWN
Integer_public_byte_java_lang_Integer_byteValue,false,UNKNOWN,.49s,UNKNOWN
Integer_public_double_java_lang_Integer_doubleValue,false,UNKNOWN,.49s,UNKNOWN
Integer_public_float_java_lang_Integer_floatValue,false,UNKNOWN,.50s,UNKNOWN
Integer_public_int_java_lang_Integer_compareTo_java_lang_Integer,false,UNKNOWN,.49s,UNKNOWN
Integer_public_int_java_lang_Integer_intValue,false,UNKNOWN,.50s,UNKNOWN
Integer_public_java_lang_String_java_lang_Integer_toString,false,UNKNOWN,.49s,UNKNOWN
Integer_public_long_java_lang_Integer_longValue,false,UNKNOWN,.50s,UNKNOWN
Integer_public_short_java_lang_Integer_shortValue,false,UNKNOWN,.49s,UNKNOWN
Integer_public_static_int_java_lang_Integer_bitCount_int,false,UNKNOWN,.51s,UNKNOWN
Integer_public_static_int_java_lang_Integer_compareUnsigned_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_compare_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_highestOneBit_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_lowestOneBit_int,false,UNKNOWN,.49s,UNKNOWN
Integer_public_static_int_java_lang_Integer_max_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_min_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_numberOfLeadingZeros_int,false,UNKNOWN,.49s,UNKNOWN
Integer_public_static_int_java_lang_Integer_numberOfTrailingZeros_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_reverseBytes_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_reverse_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_rotateLeft_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_rotateRight_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_signum_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_int_java_lang_Integer_sum_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_java_lang_Integer,false,UNKNOWN,.48s,UNKNOWN
Integer_public_static_java_lang_Integer_java_lang_Integer_valueOf_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toBinaryString_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toHexString_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toOctalString_int,false,UNKNOWN,.51s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toString_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toString_int_int,false,UNKNOWN,.48s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toUnsignedString_int,false,UNKNOWN,.51s,UNKNOWN
Integer_public_static_java_lang_String_java_lang_Integer_toUnsignedString_int_int,false,UNKNOWN,.50s,UNKNOWN
Integer_public_static_long_java_lang_Integer_toUnsignedLong_int,false,UNKNOWN,.50s,UNKNOWN
Long_public_byte_java_lang_Long_byteValue,false,UNKNOWN,.48s,UNKNOWN
Long_public_double_java_lang_Long_doubleValue,false,UNKNOWN,.49s,UNKNOWN
Long_public_float_java_lang_Long_floatValue,false,UNKNOWN,.49s,UNKNOWN
Long_public_int_java_lang_Long_compareTo_java_lang_Long,false,UNKNOWN,.50s,UNKNOWN
Long_public_int_java_lang_Long_intValue,false,UNKNOWN,.49s,UNKNOWN
Long_public_java_lang_String_java_lang_Long_toString,false,UNKNOWN,.50s,UNKNOWN
Long_public_long_java_lang_Long_longValue,false,UNKNOWN,.49s,UNKNOWN
Long_public_short_java_lang_Long_shortValue,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_int_java_lang_Long_bitCount_long,false,UNKNOWN,.52s,UNKNOWN
Long_public_static_int_java_lang_Long_compareUnsigned_long_long,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_int_java_lang_Long_compare_long_long,false,UNKNOWN,.48s,UNKNOWN
Long_public_static_int_java_lang_Long_numberOfLeadingZeros_long,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_int_java_lang_Long_numberOfTrailingZeros_long,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_int_java_lang_Long_signum_long,false,UNKNOWN,.48s,UNKNOWN
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_java_lang_Long,false,UNKNOWN,.48s,UNKNOWN
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_long,false,UNKNOWN,.51s,UNKNOWN
Long_public_static_java_lang_Long_java_lang_Long_valueOf_long,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toBinaryString_long,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toHexString_long,false,UNKNOWN,.48s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toOctalString_long,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toString_long,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toString_long_int,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long_int,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_long_java_lang_Long_highestOneBit_long,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_long_java_lang_Long_lowestOneBit_long,false,UNKNOWN,.48s,UNKNOWN
Long_public_static_long_java_lang_Long_max_long_long,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_long_java_lang_Long_min_long_long,false,UNKNOWN,.49s,UNKNOWN
Long_public_static_long_java_lang_Long_reverseBytes_long,false,UNKNOWN,.48s,UNKNOWN
Long_public_static_long_java_lang_Long_reverse_long,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_long_java_lang_Long_rotateLeft_long_int,false,UNKNOWN,.50s,UNKNOWN
Long_public_static_long_java_lang_Long_rotateRight_long_int,false,UNKNOWN,.51s,UNKNOWN
Long_public_static_long_java_lang_Long_sum_long_long,false,UNKNOWN,.49s,UNKNOWN
Math_public_static_int_java_lang_Math_abs_int,false,UNKNOWN,.49s,UNKNOWN
Math_public_static_int_java_lang_Math_getExponent_double,false,UNKNOWN,.49s,UNKNOWN
Math_public_static_int_java_lang_Math_getExponent_float,false,UNKNOWN,.49s,UNKNOWN
Math_public_static_int_java_lang_Math_max_int_int,false,UNKNOWN,.50s,UNKNOWN
Math_public_static_int_java_lang_Math_min_int_int,false,UNKNOWN,.52s,UNKNOWN
Math_public_static_int_java_lang_Math_round_float,false,UNKNOWN,.48s,UNKNOWN
Math_public_static_long_java_lang_Math_abs_long,false,UNKNOWN,.49s,UNKNOWN
Math_public_static_long_java_lang_Math_max_long_long,false,UNKNOWN,.47s,UNKNOWN
Math_public_static_long_java_lang_Math_min_long_long,false,UNKNOWN,.48s,UNKNOWN
Math_public_static_long_java_lang_Math_round_double,false,UNKNOWN,.49s,UNKNOWN
Short_public_byte_java_lang_Short_byteValue,false,UNKNOWN,.48s,UNKNOWN
Short_public_double_java_lang_Short_doubleValue,false,UNKNOWN,.50s,UNKNOWN
Short_public_float_java_lang_Short_floatValue,false,UNKNOWN,.50s,UNKNOWN
Short_public_int_java_lang_Short_compareTo_java_lang_Short,false,UNKNOWN,.50s,UNKNOWN
Short_public_int_java_lang_Short_intValue,false,UNKNOWN,.48s,UNKNOWN
