tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	autostub	autostub	autostub	autostub
results/autostub/	status	cputime (s)	walltime (s)	memory (MB)
Character_public_static_char_java_lang_Character_toLowerCase_char	unknown	0.526000	0.526000	0.000000
Character_public_static_char_java_lang_Character_toTitleCase_char	unknown	0.523000	0.523000	0.000000
Character_public_static_char_java_lang_Character_toUpperCase_char	unknown	0.507000	0.507000	0.000000
Character_public_static_int_java_lang_Character_charCount_int	unknown	0.520000	0.520000	0.000000
Character_public_static_int_java_lang_Character_compare_char_char	unknown	0.506000	0.506000	0.000000
Character_public_static_int_java_lang_Character_digit_char_int	unknown	0.515000	0.515000	0.000000
Character_public_static_int_java_lang_Character_digit_int_int	unknown	0.528000	0.528000	0.000000
Character_public_static_int_java_lang_Character_getNumericValue_char	unknown	0.508000	0.508000	0.000000
Character_public_static_int_java_lang_Character_getNumericValue_int	unknown	0.532000	0.532000	0.000000
Character_public_static_int_java_lang_Character_getType_char	unknown	0.494000	0.494000	0.000000
Character_public_static_int_java_lang_Character_getType_int	unknown	0.533000	0.533000	0.000000
Character_public_static_int_java_lang_Character_toCodePoint_char_char	unknown	0.509000	0.509000	0.000000
Character_public_static_int_java_lang_Character_toLowerCase_int	unknown	0.543000	0.543000	0.000000
Character_public_static_int_java_lang_Character_toTitleCase_int	unknown	0.533000	0.533000	0.000000
Character_public_static_int_java_lang_Character_toUpperCase_int	unknown	0.532000	0.532000	0.000000
Character_public_static_java_lang_Character_java_lang_Character_valueOf_char	unknown	0.495000	0.495000	0.000000
Character_public_static_java_lang_String_java_lang_Character_toString_char	unknown	0.524000	0.524000	0.000000
Double_public_boolean_java_lang_Double_isInfinite	unknown	0.497000	0.497000	0.000000
Double_public_boolean_java_lang_Double_isNaN	unknown	0.495000	0.495000	0.000000
Double_public_byte_java_lang_Double_byteValue	unknown	0.503000	0.503000	0.000000
Double_public_int_java_lang_Double_compareTo_java_lang_Double	unknown	0.505000	0.505000	0.000000
Double_public_int_java_lang_Double_intValue	unknown	0.496000	0.496000	0.000000
Double_public_java_lang_String_java_lang_Double_toString	unknown	0.520000	0.520000	0.000000
Double_public_long_java_lang_Double_longValue	unknown	0.507000	0.507000	0.000000
Double_public_short_java_lang_Double_shortValue	unknown	0.512000	0.512000	0.000000
Double_public_static_boolean_java_lang_Double_isFinite_double	unknown	0.504000	0.504000	0.000000
Double_public_static_boolean_java_lang_Double_isInfinite_double	unknown	0.518000	0.518000	0.000000
Double_public_static_boolean_java_lang_Double_isNaN_double	unknown	0.518000	0.518000	0.000000
Double_public_static_int_java_lang_Double_compare_double_double	unknown	0.492000	0.492000	0.000000
Double_public_static_java_lang_String_java_lang_Double_toHexString_double	unknown	0.495000	0.495000	0.000000
Double_public_static_java_lang_String_java_lang_Double_toString_double	unknown	0.501000	0.501000	0.000000
Double_public_static_long_java_lang_Double_doubleToLongBits_double	unknown	0.489000	0.489000	0.000000
Double_public_static_native_long_java_lang_Double_doubleToRawLongBits_double	unknown	0.493000	0.493000	0.000000
Float_public_boolean_java_lang_Float_isInfinite	unknown	0.485000	0.485000	0.000000
Float_public_boolean_java_lang_Float_isNaN	unknown	0.488000	0.488000	0.000000
Float_public_byte_java_lang_Float_byteValue	unknown	0.491000	0.491000	0.000000
Float_public_int_java_lang_Float_compareTo_java_lang_Float	unknown	0.502000	0.502000	0.000000
Float_public_int_java_lang_Float_intValue	unknown	0.500000	0.500000	0.000000
Float_public_java_lang_String_java_lang_Float_toString	unknown	0.502000	0.502000	0.000000
Float_public_long_java_lang_Float_longValue	unknown	0.503000	0.503000	0.000000
Float_public_short_java_lang_Float_shortValue	unknown	0.486000	0.486000	0.000000
Float_public_static_boolean_java_lang_Float_isFinite_float	unknown	0.495000	0.495000	0.000000
Float_public_static_boolean_java_lang_Float_isInfinite_float	unknown	0.492000	0.492000	0.000000
Float_public_static_boolean_java_lang_Float_isNaN_float	unknown	0.477000	0.477000	0.000000
Float_public_static_int_java_lang_Float_compare_float_float	unknown	0.490000	0.490000	0.000000
Float_public_static_int_java_lang_Float_floatToIntBits_float	unknown	0.509000	0.509000	0.000000
Float_public_static_java_lang_String_java_lang_Float_toHexString_float	unknown	0.501000	0.501000	0.000000
Float_public_static_java_lang_String_java_lang_Float_toString_float	unknown	0.499000	0.499000	0.000000
Float_public_static_native_int_java_lang_Float_floatToRawIntBits_float	unknown	0.493000	0.493000	0.000000
Integer_public_byte_java_lang_Integer_byteValue	unknown	0.502000	0.502000	0.000000
