tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jpf-regression	jpf-regression	jpf-regression	jpf-regression
results/jpf-regression/	status	cputime (s)	walltime (s)	memory (MB)
ExDarko_false	correct	0.693000	0.693000	0.000000
ExDarko_true	correct	0.553000	0.553000	0.000000
ExException_false	correct	0.624000	0.624000	0.000000
ExException_true	correct	0.535000	0.535000	0.000000
ExGenSymExe_false	correct	0.487000	0.487000	0.000000
ExGenSymExe_true	correct	0.498000	0.498000	0.000000
ExLazy_false	correct	0.627000	0.627000	0.000000
ExLazy_true	correct	0.542000	0.542000	0.000000
ExMIT_false	correct	0.624000	0.624000	0.000000
ExMIT_true	correct	0.550000	0.550000	0.000000
ExSymExe10_false	correct	0.645000	0.645000	0.000000
ExSymExe10_true	correct	0.530000	0.530000	0.000000
ExSymExe11_false	correct	0.642000	0.642000	0.000000
ExSymExe11_true	correct	0.539000	0.539000	0.000000
ExSymExe12_false	correct	0.644000	0.644000	0.000000
ExSymExe12_true	correct	0.540000	0.540000	0.000000
ExSymExe13_false	correct	0.635000	0.635000	0.000000
ExSymExe13_true	correct	0.544000	0.544000	0.000000
ExSymExe14_false	correct	0.658000	0.658000	0.000000
ExSymExe14_true	correct	0.545000	0.545000	0.000000
ExSymExe15_false	correct	0.626000	0.626000	0.000000
ExSymExe15_true	correct	0.531000	0.531000	0.000000
ExSymExe16_false	correct	0.480000	0.480000	0.000000
ExSymExe16_true	correct	0.473000	0.473000	0.000000
ExSymExe17_false	correct	0.475000	0.475000	0.000000
ExSymExe17_true	correct	0.472000	0.472000	0.000000
ExSymExe18_false	correct	0.533000	0.533000	0.000000
ExSymExe18_true	correct	0.474000	0.474000	0.000000
ExSymExe19_false	correct	0.655000	0.655000	0.000000
ExSymExe19_true	correct	1.656000	1.656000	0.000000
ExSymExe1_false	correct	0.920000	0.920000	0.000000
ExSymExe1_true	correct	0.474000	0.474000	0.000000
ExSymExe20_false	correct	9.425000	9.425000	0.000000
ExSymExe20_true	correct	0.481000	0.481000	0.000000
ExSymExe21_false	correct	0.959000	0.959000	0.000000
ExSymExe21_true	correct	0.475000	0.475000	0.000000
ExSymExe25_false	correct	0.617000	0.617000	0.000000
ExSymExe25_true	correct	0.480000	0.480000	0.000000
ExSymExe26_false	correct	1.116000	1.116000	0.000000
ExSymExe26_true	correct	0.477000	0.477000	0.000000
ExSymExe27_false	correct	0.627000	0.627000	0.000000
ExSymExe27_true	correct	0.486000	0.486000	0.000000
ExSymExe28_false	correct	0.639000	0.639000	0.000000
ExSymExe28_true	correct	0.494000	0.494000	0.000000
ExSymExe29_false	correct	1.537000	1.537000	0.000000
ExSymExe29_true	correct	0.474000	0.474000	0.000000
ExSymExe2_false	correct	0.958000	0.958000	0.000000
ExSymExe2_true	correct	0.492000	0.492000	0.000000
ExSymExe3_false	correct	0.630000	0.630000	0.000000
ExSymExe3_true	correct	0.480000	0.480000	0.000000
ExSymExe4_false	correct	1.372000	1.372000	0.000000
ExSymExe4_true	correct	0.476000	0.476000	0.000000
ExSymExe5_false	correct	0.616000	0.616000	0.000000
ExSymExe5_true	correct	0.473000	0.473000	0.000000
ExSymExe6_false	correct	0.539000	0.539000	0.000000
ExSymExe6_true	correct	0.479000	0.479000	0.000000
ExSymExe7_false	correct	0.844000	0.844000	0.000000
ExSymExe7_true	correct	0.673000	0.673000	0.000000
ExSymExe8_false	correct	0.993000	0.993000	0.000000
ExSymExe8_true	correct	0.485000	0.485000	0.000000
ExSymExe9_false	correct	0.476000	0.476000	0.000000
ExSymExe9_true	correct	0.486000	0.486000	0.000000
ExSymExeArrays_false	correct	0.485000	0.485000	0.000000
ExSymExeArrays_true	correct	0.473000	0.473000	0.000000
ExSymExeBool_false	correct	0.482000	0.482000	0.000000
ExSymExeBool_true	correct	0.482000	0.482000	0.000000
ExSymExeComplexMath_false	correct	0.482000	0.482000	0.000000
ExSymExeComplexMath_true	correct	0.470000	0.470000	0.000000
ExSymExeD2I_false	correct	0.470000	0.470000	0.000000
ExSymExeD2I_true	correct	0.533000	0.533000	0.000000
ExSymExeD2L_false	incorrect	0.533000	0.533000	0.000000
ExSymExeD2L_true	correct	0.528000	0.528000	0.000000
ExSymExeF2I_false	correct	0.485000	0.485000	0.000000
ExSymExeF2I_true	correct	0.522000	0.522000	0.000000
ExSymExeF2L_false	incorrect	0.523000	0.523000	0.000000
ExSymExeF2L_true	correct	0.522000	0.522000	0.000000
ExSymExeFNEG_false	incorrect	0.526000	0.526000	0.000000
ExSymExeFNEG_true	correct	0.524000	0.524000	0.000000
ExSymExeGetStatic_false	correct	0.490000	0.490000	0.000000
ExSymExeGetStatic_true	correct	0.469000	0.469000	0.000000
ExSymExeI2D_false	incorrect	0.529000	0.529000	0.000000
ExSymExeI2D_true	correct	0.656000	0.656000	0.000000
ExSymExeI2F_false	correct	0.471000	0.471000	0.000000
ExSymExeI2F_true	correct	0.539000	0.539000	0.000000
ExSymExeLCMP_false	correct	0.648000	0.648000	0.000000
ExSymExeLCMP_true	correct	0.557000	0.557000	0.000000
ExSymExeLongBytecodes_false	correct	0.623000	0.623000	0.000000
ExSymExeLongBytecodes_true	correct	0.567000	0.567000	0.000000
ExSymExeResearch_false	correct	0.649000	0.649000	0.000000
ExSymExeResearch_true	correct	0.575000	0.575000	0.000000
ExSymExeSimple_false	correct	0.539000	0.539000	0.000000
ExSymExeSimple_true	correct	0.534000	0.534000	0.000000
ExSymExeSuzette_false	correct	0.658000	0.658000	0.000000
ExSymExeSuzette_true	correct	0.535000	0.535000	0.000000
ExSymExeSwitch_false	correct	0.617000	0.617000	0.000000
ExSymExeSwitch_true	correct	0.533000	0.533000	0.000000
ExSymExeTestAssignments_false	correct	0.628000	0.628000	0.000000
ExSymExeTestAssignments_true	correct	0.548000	0.548000	0.000000
ExSymExeTestClassFields_false	correct	0.628000	0.628000	0.000000
