tool	JPF HEAD@ade8889	JPF HEAD@ade8889	JPF HEAD@ade8889
run set	jpf-regression	jpf-regression	jpf-regression
results/jpf-regression/	status	cputime (s)	walltime (s)
ExDarko_false	correct	1.377474	1.377474
ExDarko_true	correct	1.193233	1.193233
ExException_false	correct	1.337175	1.337175
ExException_true	correct	1.252623	1.252623
ExGenSymExe_false	correct	1.001943	1.001943
ExGenSymExe_true	correct	0.915409	0.915409
ExLazy_false	correct	1.389649	1.389649
ExLazy_true	correct	1.378475	1.378475
ExMIT_false	correct	1.323187	1.323187
ExMIT_true	correct	1.109380	1.109380
ExSymExe10_false	correct	1.684076	1.684076
ExSymExe10_true	correct	1.133510	1.133510
ExSymExe11_false	correct	1.161522	1.161522
ExSymExe11_true	correct	1.430270	1.430270
ExSymExe12_false	correct	1.644884	1.644884
ExSymExe12_true	correct	1.845231	1.845231
ExSymExe13_false	correct	1.821358	1.821358
ExSymExe13_true	correct	1.123512	1.123512
ExSymExe14_false	correct	1.646587	1.646587
ExSymExe14_true	correct	1.393232	1.393232
ExSymExe15_false	correct	1.672045	1.672045
ExSymExe15_true	correct	1.342211	1.342211
ExSymExe16_false	correct	1.244673	1.244673
ExSymExe16_true	correct	1.379328	1.379328
ExSymExe17_false	correct	1.044190	1.044190
ExSymExe17_true	correct	1.051589	1.051589
ExSymExe18_false	correct	1.361933	1.361933
ExSymExe18_true	correct	1.025410	1.025410
ExSymExe19_false	correct	1.612984	1.612984
ExSymExe19_true	correct	4.794621	4.794621
ExSymExe1_false	correct	2.134647	2.134647
ExSymExe1_true	correct	1.102731	1.102731
ExSymExe20_false	correct	24.965170	24.965170
ExSymExe20_true	correct	1.072528	1.072528
ExSymExe21_false	correct	2.690032	2.690032
ExSymExe21_true	correct	1.228136	1.228136
ExSymExe25_false	correct	1.504798	1.504798
ExSymExe25_true	correct	1.043589	1.043589
ExSymExe26_false	correct	3.319731	3.319731
ExSymExe26_true	correct	1.358010	1.358010
ExSymExe27_false	correct	1.707026	1.707026
ExSymExe27_true	correct	1.272784	1.272784
ExSymExe28_false	correct	1.781146	1.781146
ExSymExe28_true	correct	1.431499	1.431499
ExSymExe29_false	correct	3.782564	3.782564
ExSymExe29_true	correct	1.136128	1.136128
ExSymExe2_false	correct	2.423812	2.423812
ExSymExe2_true	correct	1.119721	1.119721
ExSymExe3_false	correct	1.573123	1.573123
ExSymExe3_true	correct	1.274366	1.274366
ExSymExe4_false	correct	4.233894	4.233894
ExSymExe4_true	correct	1.193597	1.193597
ExSymExe5_false	correct	1.845621	1.845621
ExSymExe5_true	correct	1.242469	1.242469
ExSymExe6_false	correct	1.306117	1.306117
ExSymExe6_true	correct	1.165324	1.165324
ExSymExe7_false	correct	2.189523	2.189523
ExSymExe7_true	correct	1.678228	1.678228
ExSymExe8_false	correct	2.546893	2.546893
ExSymExe8_true	correct	1.135631	1.135631
ExSymExe9_false	correct	1.218505	1.218505
ExSymExe9_true	correct	1.153395	1.153395
ExSymExeArrays_false	correct	1.249660	1.249660
ExSymExeArrays_true	correct	1.127120	1.127120
ExSymExeBool_false	correct	1.055870	1.055870
ExSymExeBool_true	correct	1.456105	1.456105
ExSymExeComplexMath_false	correct	1.188837	1.188837
ExSymExeComplexMath_true	correct	1.332388	1.332388
ExSymExeD2I_false	correct	1.286658	1.286658
ExSymExeD2I_true	correct	1.411196	1.411196
ExSymExeD2L_false	incorrect	1.373565	1.373565
ExSymExeD2L_true	correct	1.375303	1.375303
ExSymExeF2I_false	correct	1.164283	1.164283
ExSymExeF2I_true	correct	1.395606	1.395606
ExSymExeF2L_false	incorrect	1.248708	1.248708
ExSymExeF2L_true	correct	1.964374	1.964374
ExSymExeFNEG_false	incorrect	2.023033	2.023033
ExSymExeFNEG_true	correct	2.345059	2.345059
ExSymExeGetStatic_false	correct	1.747150	1.747150
ExSymExeGetStatic_true	correct	1.921983	1.921983
ExSymExeI2D_false	incorrect	2.257978	2.257978
ExSymExeI2D_true	correct	2.577866	2.577866
ExSymExeI2F_false	correct	1.792863	1.792863
ExSymExeI2F_true	correct	1.798676	1.798676
ExSymExeLCMP_false	correct	1.825457	1.825457
ExSymExeLCMP_true	correct	1.968589	1.968589
ExSymExeLongBytecodes_false	correct	1.961480	1.961480
ExSymExeLongBytecodes_true	correct	1.724799	1.724799
ExSymExeResearch_false	correct	1.953462	1.953462
ExSymExeResearch_true	correct	1.969537	1.969537
ExSymExeSimple_false	correct	1.501674	1.501674
ExSymExeSimple_true	correct	1.432541	1.432541
ExSymExeSuzette_false	correct	2.050746	2.050746
ExSymExeSuzette_true	correct	1.365196	1.365196
ExSymExeSwitch_false	correct	1.515261	1.515261
ExSymExeSwitch_true	correct	1.308139	1.308139
ExSymExeTestAssignments_false	correct	2.113911	2.113911
ExSymExeTestAssignments_true	correct	1.906535	1.906535
ExSymExeTestClassFields_false	correct	1.972352	1.972352
ExSymExeTestClassFields_true	correct	2.404344	2.404344
ExSymExe_false	correct	1.932945	1.932945
ExSymExe_true	correct	1.452602	1.452602
TestLazy_false	correct	2.585635	2.585635
TestLazy_true	correct	2.068514	2.068514
