tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jpf-regression	jpf-regression	jpf-regression	jpf-regression
results/jpf-regression/	status	cputime (s)	walltime (s)	memory (MB)
ExDarko_false	correct	0.653000	0.653000	0.000000
ExDarko_true	correct	0.514000	0.514000	0.000000
ExException_false	correct	0.607000	0.607000	0.000000
ExException_true	correct	0.527000	0.527000	0.000000
ExGenSymExe_false	correct	0.464000	0.464000	0.000000
ExGenSymExe_true	correct	0.482000	0.482000	0.000000
ExLazy_false	correct	0.615000	0.615000	0.000000
ExLazy_true	correct	0.524000	0.524000	0.000000
ExMIT_false	correct	0.608000	0.608000	0.000000
ExMIT_true	correct	0.508000	0.508000	0.000000
ExSymExe10_false	correct	0.633000	0.633000	0.000000
ExSymExe10_true	correct	0.524000	0.524000	0.000000
ExSymExe11_false	correct	0.472000	0.472000	0.000000
ExSymExe11_true	correct	0.524000	0.524000	0.000000
ExSymExe12_false	correct	0.623000	0.623000	0.000000
ExSymExe12_true	correct	0.519000	0.519000	0.000000
ExSymExe13_false	correct	0.625000	0.625000	0.000000
ExSymExe13_true	correct	0.528000	0.528000	0.000000
ExSymExe14_false	correct	0.669000	0.669000	0.000000
ExSymExe14_true	correct	0.524000	0.524000	0.000000
ExSymExe15_false	correct	0.604000	0.604000	0.000000
ExSymExe15_true	correct	0.506000	0.506000	0.000000
ExSymExe16_false	correct	0.461000	0.461000	0.000000
ExSymExe16_true	correct	0.452000	0.452000	0.000000
ExSymExe17_false	correct	0.446000	0.446000	0.000000
ExSymExe17_true	correct	0.470000	0.470000	0.000000
ExSymExe18_false	correct	0.517000	0.517000	0.000000
ExSymExe18_true	correct	0.458000	0.458000	0.000000
ExSymExe19_false	correct	0.627000	0.627000	0.000000
ExSymExe19_true	correct	1.731000	1.731000	0.000000
ExSymExe1_false	correct	0.953000	0.953000	0.000000
ExSymExe1_true	correct	0.461000	0.461000	0.000000
ExSymExe20_false	correct	10.335000	10.335000	0.000000
ExSymExe20_true	correct	0.459000	0.459000	0.000000
ExSymExe21_false	correct	0.980000	0.980000	0.000000
ExSymExe21_true	correct	0.469000	0.469000	0.000000
ExSymExe25_false	correct	0.617000	0.617000	0.000000
ExSymExe25_true	correct	0.479000	0.479000	0.000000
ExSymExe26_false	correct	1.162000	1.162000	0.000000
ExSymExe26_true	correct	0.475000	0.475000	0.000000
ExSymExe27_false	correct	0.612000	0.612000	0.000000
ExSymExe27_true	correct	0.463000	0.463000	0.000000
ExSymExe28_false	correct	0.642000	0.642000	0.000000
ExSymExe28_true	correct	0.472000	0.472000	0.000000
ExSymExe29_false	correct	1.580000	1.580000	0.000000
ExSymExe29_true	correct	0.465000	0.465000	0.000000
ExSymExe2_false	correct	0.993000	0.993000	0.000000
ExSymExe2_true	correct	0.450000	0.450000	0.000000
ExSymExe3_false	correct	0.614000	0.614000	0.000000
ExSymExe3_true	correct	0.467000	0.467000	0.000000
ExSymExe4_false	correct	1.447000	1.447000	0.000000
ExSymExe4_true	correct	0.468000	0.468000	0.000000
ExSymExe5_false	correct	0.625000	0.625000	0.000000
ExSymExe5_true	correct	0.453000	0.453000	0.000000
ExSymExe6_false	correct	0.544000	0.544000	0.000000
ExSymExe6_true	correct	0.464000	0.464000	0.000000
ExSymExe7_false	correct	0.837000	0.837000	0.000000
ExSymExe7_true	correct	0.698000	0.698000	0.000000
ExSymExe8_false	correct	1.008000	1.008000	0.000000
ExSymExe8_true	correct	0.465000	0.465000	0.000000
ExSymExe9_false	correct	0.481000	0.481000	0.000000
ExSymExe9_true	correct	0.471000	0.471000	0.000000
ExSymExeArrays_false	correct	0.461000	0.461000	0.000000
ExSymExeArrays_true	correct	0.467000	0.467000	0.000000
ExSymExeBool_false	correct	0.475000	0.475000	0.000000
ExSymExeBool_true	correct	0.459000	0.459000	0.000000
ExSymExeComplexMath_false	correct	0.476000	0.476000	0.000000
ExSymExeComplexMath_true	correct	0.478000	0.478000	0.000000
ExSymExeD2I_false	correct	0.465000	0.465000	0.000000
ExSymExeD2I_true	correct	0.519000	0.519000	0.000000
ExSymExeD2L_false	incorrect	0.546000	0.546000	0.000000
ExSymExeD2L_true	correct	0.556000	0.556000	0.000000
ExSymExeF2I_false	correct	0.482000	0.482000	0.000000
ExSymExeF2I_true	correct	0.514000	0.514000	0.000000
ExSymExeF2L_false	incorrect	0.542000	0.542000	0.000000
ExSymExeF2L_true	correct	0.547000	0.547000	0.000000
ExSymExeFNEG_false	incorrect	0.525000	0.525000	0.000000
ExSymExeFNEG_true	correct	0.542000	0.542000	0.000000
ExSymExeGetStatic_false	correct	0.471000	0.471000	0.000000
ExSymExeGetStatic_true	correct	0.472000	0.472000	0.000000
ExSymExeI2D_false	incorrect	0.529000	0.529000	0.000000
ExSymExeI2D_true	correct	0.653000	0.653000	0.000000
ExSymExeI2F_false	correct	0.461000	0.461000	0.000000
ExSymExeI2F_true	correct	0.516000	0.516000	0.000000
ExSymExeLCMP_false	correct	0.670000	0.670000	0.000000
ExSymExeLCMP_true	correct	0.523000	0.523000	0.000000
ExSymExeLongBytecodes_false	correct	0.625000	0.625000	0.000000
ExSymExeLongBytecodes_true	correct	0.562000	0.562000	0.000000
ExSymExeResearch_false	correct	0.628000	0.628000	0.000000
ExSymExeResearch_true	correct	0.569000	0.569000	0.000000
ExSymExeSimple_false	correct	0.539000	0.539000	0.000000
ExSymExeSimple_true	correct	0.512000	0.512000	0.000000
ExSymExeSuzette_false	correct	0.626000	0.626000	0.000000
ExSymExeSuzette_true	correct	0.510000	0.510000	0.000000
ExSymExeSwitch_false	correct	0.617000	0.617000	0.000000
ExSymExeSwitch_true	correct	0.535000	0.535000	0.000000
ExSymExeTestAssignments_false	correct	0.612000	0.612000	0.000000
ExSymExeTestAssignments_true	correct	0.553000	0.553000	0.000000
ExSymExeTestClassFields_false	correct	0.617000	0.617000	0.000000
