tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
SunTimes_true	correct	0.512000	0.512000	0.000000
TallyCounts_false	correct	0.604000	0.604000	0.000000
TallyCounts_true	unknown	0.520000	0.520000	0.000000
TimeChart	correct	0.520000	0.520000	0.000000
TouchPadView	correct	0.620000	0.620000	0.000000
VelocityTracker_false	correct	0.626000	0.626000	0.000000
VelocityTracker_true	correct	0.510000	0.510000	0.000000
WeibullGenerator_exceptionless	correct	0.498000	0.498000	0.000000
WeibullGenerator_exceptionprone	incorrect	0.496000	0.496000	0.000000
Byte_public_byte_java_lang_Byte_byteValue	unknown	0.495000	0.495000	0.000000
Byte_public_double_java_lang_Byte_doubleValue	unknown	0.478000	0.478000	0.000000
Byte_public_float_java_lang_Byte_floatValue	unknown	0.475000	0.475000	0.000000
Byte_public_int_java_lang_Byte_compareTo_java_lang_Byte	unknown	0.479000	0.479000	0.000000
Byte_public_int_java_lang_Byte_intValue	unknown	0.464000	0.464000	0.000000
Byte_public_java_lang_String_java_lang_Byte_toString	unknown	0.465000	0.465000	0.000000
Byte_public_long_java_lang_Byte_longValue	unknown	0.487000	0.487000	0.000000
Byte_public_short_java_lang_Byte_shortValue	unknown	0.475000	0.475000	0.000000
Byte_public_static_int_java_lang_Byte_compare_byte_byte	unknown	0.472000	0.472000	0.000000
Byte_public_static_int_java_lang_Byte_toUnsignedInt_byte	unknown	0.474000	0.474000	0.000000
Byte_public_static_java_lang_Byte_java_lang_Byte_valueOf_byte	unknown	0.487000	0.487000	0.000000
Byte_public_static_java_lang_String_java_lang_Byte_toString_byte	unknown	0.473000	0.473000	0.000000
Byte_public_static_long_java_lang_Byte_toUnsignedLong_byte	unknown	0.477000	0.477000	0.000000
Character_public_char_java_lang_Character_charValue	unknown	0.477000	0.477000	0.000000
Character_public_int_java_lang_Character_compareTo_java_lang_Character	unknown	0.476000	0.476000	0.000000
Character_public_java_lang_String_java_lang_Character_toString	unknown	0.492000	0.492000	0.000000
Character_public_static_boolean_java_lang_Character_isDigit_char	unknown	0.468000	0.468000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierPart_char	unknown	0.473000	0.473000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierStart_char	unknown	0.489000	0.489000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaLetterOrDigit_char	unknown	0.473000	0.473000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaLetter_char	unknown	0.477000	0.477000	0.000000
Character_public_static_boolean_java_lang_Character_isLetterOrDigit_char	unknown	0.465000	0.465000	0.000000
Character_public_static_boolean_java_lang_Character_isLetter_char	unknown	0.475000	0.475000	0.000000
Character_public_static_boolean_java_lang_Character_isLowerCase_char	unknown	0.461000	0.461000	0.000000
Character_public_static_boolean_java_lang_Character_isMirrored_char	unknown	0.484000	0.484000	0.000000
Character_public_static_boolean_java_lang_Character_isSpaceChar_char	unknown	0.475000	0.475000	0.000000
Character_public_static_boolean_java_lang_Character_isSpace_char	unknown	0.477000	0.477000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierPart_char	unknown	0.460000	0.460000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierStart_char	unknown	0.480000	0.480000	0.000000
Character_public_static_boolean_java_lang_Character_isUpperCase_char	unknown	0.470000	0.470000	0.000000
Character_public_static_boolean_java_lang_Character_isWhitespace_char	unknown	0.462000	0.462000	0.000000
Character_public_static_byte_java_lang_Character_getDirectionality_char	unknown	0.479000	0.479000	0.000000
Character_public_static_char_java_lang_Character_toLowerCase_char	unknown	0.476000	0.476000	0.000000
Character_public_static_char_java_lang_Character_toTitleCase_char	unknown	0.483000	0.483000	0.000000
Character_public_static_char_java_lang_Character_toUpperCase_char	unknown	0.487000	0.487000	0.000000
Character_public_static_int_java_lang_Character_compare_char_char	unknown	0.476000	0.476000	0.000000
Character_public_static_int_java_lang_Character_digit_char_int	unknown	0.470000	0.470000	0.000000
Character_public_static_int_java_lang_Character_getNumericValue_char	unknown	0.479000	0.479000	0.000000
Character_public_static_int_java_lang_Character_getType_char	unknown	0.463000	0.463000	0.000000
Character_public_static_int_java_lang_Character_toCodePoint_char_char	unknown	0.468000	0.468000	0.000000
Character_public_static_java_lang_Character_java_lang_Character_valueOf_char	unknown	0.475000	0.475000	0.000000
Character_public_static_java_lang_String_java_lang_Character_toString_char	unknown	0.488000	0.488000	0.000000
Double_public_boolean_java_lang_Double_isInfinite	unknown	0.471000	0.471000	0.000000
Double_public_boolean_java_lang_Double_isNaN	unknown	0.472000	0.472000	0.000000
Double_public_byte_java_lang_Double_byteValue	unknown	0.474000	0.474000	0.000000
Double_public_int_java_lang_Double_compareTo_java_lang_Double	unknown	0.472000	0.472000	0.000000
Double_public_int_java_lang_Double_intValue	unknown	0.483000	0.483000	0.000000
Double_public_java_lang_String_java_lang_Double_toString	unknown	0.479000	0.479000	0.000000
Double_public_long_java_lang_Double_longValue	unknown	0.477000	0.477000	0.000000
Double_public_short_java_lang_Double_shortValue	unknown	0.467000	0.467000	0.000000
Double_public_static_boolean_java_lang_Double_isFinite_double	unknown	0.482000	0.482000	0.000000
Double_public_static_boolean_java_lang_Double_isInfinite_double	unknown	0.468000	0.468000	0.000000
Double_public_static_boolean_java_lang_Double_isNaN_double	unknown	0.471000	0.471000	0.000000
Double_public_static_int_java_lang_Double_compare_double_double	unknown	0.464000	0.464000	0.000000
Double_public_static_java_lang_String_java_lang_Double_toHexString_double	unknown	0.472000	0.472000	0.000000
Double_public_static_java_lang_String_java_lang_Double_toString_double	unknown	0.463000	0.463000	0.000000
Double_public_static_long_java_lang_Double_doubleToLongBits_double	unknown	0.471000	0.471000	0.000000
Double_public_static_native_long_java_lang_Double_doubleToRawLongBits_double	unknown	0.469000	0.469000	0.000000
