tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
SunTimes_true	correct	0.404000	0.404000	0.000000
TallyCounts_false	correct	0.505000	0.505000	0.000000
TallyCounts_true	unknown	0.405000	0.405000	0.000000
TimeChart	correct	0.407000	0.407000	0.000000
TouchPadView	correct	0.492000	0.492000	0.000000
VelocityTracker_false	correct	0.515000	0.515000	0.000000
VelocityTracker_true	correct	0.418000	0.418000	0.000000
WeibullGenerator_exceptionless	correct	0.401000	0.401000	0.000000
WeibullGenerator_exceptionprone	incorrect	0.403000	0.403000	0.000000
Byte_public_byte_java_lang_Byte_byteValue	unknown	0.444000	0.444000	0.000000
Byte_public_double_java_lang_Byte_doubleValue	unknown	0.439000	0.439000	0.000000
Byte_public_float_java_lang_Byte_floatValue	unknown	0.442000	0.442000	0.000000
Byte_public_int_java_lang_Byte_compareTo_java_lang_Byte	unknown	0.462000	0.462000	0.000000
Byte_public_int_java_lang_Byte_intValue	unknown	0.459000	0.459000	0.000000
Byte_public_java_lang_String_java_lang_Byte_toString	unknown	0.458000	0.458000	0.000000
Byte_public_long_java_lang_Byte_longValue	unknown	0.445000	0.445000	0.000000
Byte_public_short_java_lang_Byte_shortValue	unknown	0.460000	0.460000	0.000000
Byte_public_static_int_java_lang_Byte_compare_byte_byte	unknown	0.456000	0.456000	0.000000
Byte_public_static_int_java_lang_Byte_toUnsignedInt_byte	unknown	0.456000	0.456000	0.000000
Byte_public_static_java_lang_Byte_java_lang_Byte_valueOf_byte	unknown	0.455000	0.455000	0.000000
Byte_public_static_java_lang_String_java_lang_Byte_toString_byte	unknown	0.453000	0.453000	0.000000
Byte_public_static_long_java_lang_Byte_toUnsignedLong_byte	unknown	0.451000	0.451000	0.000000
Character_public_char_java_lang_Character_charValue	unknown	0.458000	0.458000	0.000000
Character_public_int_java_lang_Character_compareTo_java_lang_Character	unknown	0.447000	0.447000	0.000000
Character_public_java_lang_String_java_lang_Character_toString	unknown	0.447000	0.447000	0.000000
Character_public_static_boolean_java_lang_Character_isDigit_char	unknown	0.457000	0.457000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierPart_char	unknown	0.434000	0.434000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierStart_char	unknown	0.453000	0.453000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaLetterOrDigit_char	unknown	0.440000	0.440000	0.000000
