tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	MinePump	MinePump	MinePump	MinePump
results/MinePump/	status	cputime (s)	walltime (s)	memory (MB)
spec1-5_product1	correct	0.694000	0.694000	0.000000
spec1-5_product10	correct	0.720000	0.720000	0.000000
spec1-5_product11	correct	1.427000	1.427000	0.000000
spec1-5_product12	correct	0.801000	0.801000	0.000000
spec1-5_product13	correct	0.689000	0.689000	0.000000
spec1-5_product14	correct	0.711000	0.711000	0.000000
spec1-5_product15	correct	1.458000	1.458000	0.000000
spec1-5_product16	correct	0.776000	0.776000	0.000000
spec1-5_product17	correct	0.719000	0.719000	0.000000
spec1-5_product18	correct	0.711000	0.711000	0.000000
spec1-5_product19	correct	1.433000	1.433000	0.000000
spec1-5_product2	correct	0.719000	0.719000	0.000000
spec1-5_product20	correct	0.794000	0.794000	0.000000
spec1-5_product21	correct	0.694000	0.694000	0.000000
spec1-5_product22	correct	0.720000	0.720000	0.000000
spec1-5_product23	correct	1.436000	1.436000	0.000000
spec1-5_product24	correct	0.773000	0.773000	0.000000
spec1-5_product25	correct	0.691000	0.691000	0.000000
spec1-5_product26	correct	0.687000	0.687000	0.000000
spec1-5_product27	correct	1.454000	1.454000	0.000000
spec1-5_product28	correct	0.785000	0.785000	0.000000
spec1-5_product29	correct	0.694000	0.694000	0.000000
spec1-5_product3	correct	1.392000	1.392000	0.000000
spec1-5_product30	correct	0.707000	0.707000	0.000000
spec1-5_product31	correct	1.406000	1.406000	0.000000
spec1-5_product32	correct	0.801000	0.801000	0.000000
spec1-5_product33	correct	0.667000	0.667000	0.000000
spec1-5_product34	correct	0.686000	0.686000	0.000000
spec1-5_product35	correct	1.388000	1.388000	0.000000
spec1-5_product36	correct	0.758000	0.758000	0.000000
spec1-5_product37	correct	0.680000	0.680000	0.000000
spec1-5_product38	correct	0.670000	0.670000	0.000000
spec1-5_product39	correct	1.366000	1.366000	0.000000
spec1-5_product4	correct	0.789000	0.789000	0.000000
spec1-5_product40	correct	0.782000	0.782000	0.000000
spec1-5_product41	correct	0.748000	0.748000	0.000000
spec1-5_product42	correct	0.740000	0.740000	0.000000
spec1-5_product43	correct	1.442000	1.442000	0.000000
spec1-5_product44	correct	0.757000	0.757000	0.000000
spec1-5_product45	correct	0.767000	0.767000	0.000000
spec1-5_product46	correct	0.752000	0.752000	0.000000
spec1-5_product47	correct	1.403000	1.403000	0.000000
spec1-5_product48	correct	0.775000	0.775000	0.000000
spec1-5_product49	correct	0.662000	0.662000	0.000000
spec1-5_product5	correct	0.696000	0.696000	0.000000
spec1-5_product50	correct	0.669000	0.669000	0.000000
spec1-5_product51	correct	1.426000	1.426000	0.000000
spec1-5_product52	correct	0.785000	0.785000	0.000000
spec1-5_product53	correct	0.673000	0.673000	0.000000
spec1-5_product54	correct	0.671000	0.671000	0.000000
spec1-5_product55	correct	1.340000	1.340000	0.000000
spec1-5_product56	correct	0.781000	0.781000	0.000000
spec1-5_product57	correct	6.208000	6.208000	0.000000
spec1-5_product58	correct	6.070000	6.070000	0.000000
spec1-5_product59	correct	6.512000	6.512000	0.000000
spec1-5_product6	correct	0.722000	0.722000	0.000000
spec1-5_product60	correct	6.121000	6.121000	0.000000
spec1-5_product61	correct	6.660000	6.660000	0.000000
spec1-5_product62	correct	6.614000	6.614000	0.000000
spec1-5_product63	correct	5.958000	5.958000	0.000000
spec1-5_product64	correct	6.145000	6.145000	0.000000
spec1-5_product7	correct	1.404000	1.404000	0.000000
spec1-5_product8	correct	0.786000	0.786000	0.000000
spec1-5_product9	correct	0.678000	0.678000	0.000000
