tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	MinePump	MinePump	MinePump	MinePump
results/MinePump/	status	cputime (s)	walltime (s)	memory (MB)
spec1-5_product1	correct	0.700000	0.700000	0.000000
spec1-5_product10	correct	0.687000	0.687000	0.000000
spec1-5_product11	correct	1.341000	1.341000	0.000000
spec1-5_product12	correct	0.738000	0.738000	0.000000
spec1-5_product13	correct	0.654000	0.654000	0.000000
spec1-5_product14	correct	0.683000	0.683000	0.000000
spec1-5_product15	correct	1.376000	1.376000	0.000000
spec1-5_product16	correct	0.735000	0.735000	0.000000
spec1-5_product17	correct	0.658000	0.658000	0.000000
spec1-5_product18	correct	0.945000	0.945000	0.000000
spec1-5_product19	correct	1.319000	1.319000	0.000000
spec1-5_product2	correct	0.665000	0.665000	0.000000
spec1-5_product20	correct	0.766000	0.766000	0.000000
spec1-5_product21	correct	0.689000	0.689000	0.000000
spec1-5_product22	correct	0.669000	0.669000	0.000000
spec1-5_product23	correct	1.345000	1.345000	0.000000
spec1-5_product24	correct	0.755000	0.755000	0.000000
spec1-5_product25	correct	0.658000	0.658000	0.000000
spec1-5_product26	correct	0.673000	0.673000	0.000000
spec1-5_product27	correct	1.411000	1.411000	0.000000
spec1-5_product28	correct	0.770000	0.770000	0.000000
spec1-5_product29	correct	0.681000	0.681000	0.000000
spec1-5_product3	correct	1.416000	1.416000	0.000000
spec1-5_product30	correct	0.664000	0.664000	0.000000
spec1-5_product31	correct	1.401000	1.401000	0.000000
spec1-5_product32	correct	0.801000	0.801000	0.000000
spec1-5_product33	correct	0.666000	0.666000	0.000000
spec1-5_product34	correct	0.659000	0.659000	0.000000
spec1-5_product35	correct	1.348000	1.348000	0.000000
spec1-5_product36	correct	0.748000	0.748000	0.000000
spec1-5_product37	correct	0.661000	0.661000	0.000000
spec1-5_product38	correct	0.623000	0.623000	0.000000
spec1-5_product39	correct	1.357000	1.357000	0.000000
spec1-5_product4	correct	0.758000	0.758000	0.000000
spec1-5_product40	correct	0.754000	0.754000	0.000000
spec1-5_product41	correct	0.717000	0.717000	0.000000
spec1-5_product42	correct	0.737000	0.737000	0.000000
spec1-5_product43	correct	1.441000	1.441000	0.000000
spec1-5_product44	correct	0.768000	0.768000	0.000000
spec1-5_product45	correct	0.749000	0.749000	0.000000
spec1-5_product46	correct	0.746000	0.746000	0.000000
spec1-5_product47	correct	1.448000	1.448000	0.000000
spec1-5_product48	correct	0.754000	0.754000	0.000000
spec1-5_product49	correct	0.667000	0.667000	0.000000
spec1-5_product5	correct	0.717000	0.717000	0.000000
spec1-5_product50	correct	0.697000	0.697000	0.000000
spec1-5_product51	correct	1.289000	1.289000	0.000000
spec1-5_product52	correct	0.744000	0.744000	0.000000
spec1-5_product53	correct	0.658000	0.658000	0.000000
spec1-5_product54	correct	0.647000	0.647000	0.000000
spec1-5_product55	correct	1.378000	1.378000	0.000000
spec1-5_product56	correct	0.767000	0.767000	0.000000
spec1-5_product57	correct	6.636000	6.636000	0.000000
spec1-5_product58	correct	6.604000	6.604000	0.000000
spec1-5_product59	correct	6.208000	6.208000	0.000000
spec1-5_product6	correct	0.702000	0.702000	0.000000
spec1-5_product60	correct	6.268000	6.268000	0.000000
spec1-5_product61	correct	6.938000	6.938000	0.000000
spec1-5_product62	correct	6.190000	6.190000	0.000000
spec1-5_product63	correct	5.857000	5.857000	0.000000
spec1-5_product64	correct	5.977000	5.977000	0.000000
spec1-5_product7	correct	1.441000	1.441000	0.000000
spec1-5_product8	correct	0.762000	0.762000	0.000000
spec1-5_product9	correct	0.678000	0.678000	0.000000
