tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	MinePump	MinePump	MinePump	MinePump
results/MinePump/	status	cputime (s)	walltime (s)	memory (MB)
spec1-5_product1	correct	0.649000	0.649000	0.000000
spec1-5_product10	correct	0.663000	0.663000	0.000000
spec1-5_product11	correct	1.328000	1.328000	0.000000
spec1-5_product12	correct	0.743000	0.743000	0.000000
spec1-5_product13	correct	0.668000	0.668000	0.000000
spec1-5_product14	correct	0.650000	0.650000	0.000000
spec1-5_product15	correct	1.393000	1.393000	0.000000
spec1-5_product16	correct	0.744000	0.744000	0.000000
spec1-5_product17	correct	0.659000	0.659000	0.000000
spec1-5_product18	correct	1.314000	1.314000	0.000000
spec1-5_product19	correct	1.314000	1.314000	0.000000
spec1-5_product2	correct	0.650000	0.650000	0.000000
spec1-5_product20	correct	0.751000	0.751000	0.000000
spec1-5_product21	correct	0.666000	0.666000	0.000000
spec1-5_product22	correct	0.649000	0.649000	0.000000
spec1-5_product23	correct	1.426000	1.426000	0.000000
spec1-5_product24	correct	0.743000	0.743000	0.000000
spec1-5_product25	correct	0.665000	0.665000	0.000000
spec1-5_product26	correct	0.651000	0.651000	0.000000
spec1-5_product27	correct	1.302000	1.302000	0.000000
spec1-5_product28	correct	0.726000	0.726000	0.000000
spec1-5_product29	correct	0.671000	0.671000	0.000000
spec1-5_product3	correct	1.413000	1.413000	0.000000
spec1-5_product30	correct	0.672000	0.672000	0.000000
spec1-5_product31	correct	1.395000	1.395000	0.000000
spec1-5_product32	correct	0.744000	0.744000	0.000000
spec1-5_product33	correct	0.627000	0.627000	0.000000
spec1-5_product34	correct	0.639000	0.639000	0.000000
spec1-5_product35	correct	1.278000	1.278000	0.000000
spec1-5_product36	correct	0.751000	0.751000	0.000000
spec1-5_product37	correct	0.626000	0.626000	0.000000
spec1-5_product38	correct	0.648000	0.648000	0.000000
spec1-5_product39	correct	1.315000	1.315000	0.000000
spec1-5_product4	correct	0.745000	0.745000	0.000000
spec1-5_product40	correct	0.716000	0.716000	0.000000
spec1-5_product41	correct	0.693000	0.693000	0.000000
spec1-5_product42	correct	0.686000	0.686000	0.000000
spec1-5_product43	correct	1.335000	1.335000	0.000000
spec1-5_product44	correct	0.748000	0.748000	0.000000
spec1-5_product45	correct	0.717000	0.717000	0.000000
spec1-5_product46	correct	0.717000	0.717000	0.000000
spec1-5_product47	correct	1.364000	1.364000	0.000000
spec1-5_product48	correct	0.752000	0.752000	0.000000
spec1-5_product49	correct	0.644000	0.644000	0.000000
spec1-5_product5	correct	0.656000	0.656000	0.000000
spec1-5_product50	correct	0.632000	0.632000	0.000000
spec1-5_product51	correct	1.260000	1.260000	0.000000
spec1-5_product52	correct	0.733000	0.733000	0.000000
spec1-5_product53	correct	0.641000	0.641000	0.000000
spec1-5_product54	correct	0.633000	0.633000	0.000000
spec1-5_product55	correct	1.320000	1.320000	0.000000
spec1-5_product56	correct	0.732000	0.732000	0.000000
spec1-5_product57	correct	6.675000	6.675000	0.000000
spec1-5_product58	correct	6.448000	6.448000	0.000000
spec1-5_product59	correct	6.717000	6.717000	0.000000
spec1-5_product6	correct	0.653000	0.653000	0.000000
spec1-5_product60	correct	5.759000	5.759000	0.000000
spec1-5_product61	correct	6.662000	6.662000	0.000000
spec1-5_product62	correct	6.571000	6.571000	0.000000
spec1-5_product63	correct	6.904000	6.904000	0.000000
spec1-5_product64	correct	5.835000	5.835000	0.000000
spec1-5_product7	correct	1.331000	1.331000	0.000000
spec1-5_product8	correct	0.745000	0.745000	0.000000
spec1-5_product9	correct	0.670000	0.670000	0.000000
