tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	float_unboundedloop	float_unboundedloop	float_unboundedloop	float_unboundedloop
results/float_unboundedloop/	status	cputime (s)	walltime (s)	memory (MB)
Adjustable-Inner-Count-Halving	incorrect	0.615000	0.615000	0.000000
Alternating-Step-Schedule	correct	0.566000	0.566000	0.000000
Batch-Conveyor-Counter	correct	0.619000	0.619000	0.000000
Bounded-Proportional-Update	correct	0.632000	0.632000	0.000000
Bounded-Reset-Linear-Growth	correct	0.609000	0.609000	0.000000
Clamped-Triangular-Drift	correct	0.615000	0.615000	0.000000
Cyclic-Preset-Inner-ABC	correct	0.630000	0.630000	0.000000
Fixed-Block-Accumulator	correct	0.606000	0.606000	0.000000
Hysteresis-On-Off-with-Deadband	correct	1.171000	1.171000	0.000000
Inner-Retry-Until-OK	correct	0.598000	0.598000	0.000000
Leak-and-Refill	correct	0.603000	0.603000	0.000000
Mixed-Phase-AddHalve-with-Slack-Box	correct	0.626000	0.626000	0.000000
Nested-Drain-Then-Step	correct	0.597000	0.597000	0.000000
Nested-MinStep-Regulator	correct	0.618000	0.618000	0.000000
Nested-PingPong-with-Caps	correct	0.613000	0.613000	0.000000
Nested-Saturation-Then-Reset	correct	0.615000	0.615000	0.000000
Nested-Windowed-Add-Remove	correct	0.590000	0.590000	0.000000
Producer-Consumer-Level	correct	0.619000	0.619000	0.000000
Ramp-and-Hold	correct	0.619000	0.619000	0.000000
Safe-Accumulator-with-Bounded-Noise	correct	1.206000	1.206000	0.000000
Saturating-Integrator	correct	0.602000	0.602000	0.000000
Slew-Rate-Limiter	correct	0.603000	0.603000	0.000000
Switched-Linear-Plant	correct	0.598000	0.598000	0.000000
Two-Band-Piecewise-Linear-Oscillator	correct	0.611000	0.611000	0.000000
Two-Counter-Lexicographic-Small	correct	0.601000	0.601000	0.000000
Two-Level-Nested-Scheduler	correct	0.606000	0.606000	0.000000
Two-State-FP-Oscillator	correct	0.620000	0.620000	0.000000
Two-Var-Nested-Handshake	correct	0.636000	0.636000	0.000000
Two-Variable_Averaging_Filter	correct	0.603000	0.603000	0.000000
Unbounded-Outer-Inner-Safety-Gate	correct	0.613000	0.613000	0.000000
